t,y_real,y_pred
0.03333333,-1.552444,-0.9126687
0.05,-1.552437,-0.9191561
0.06666667,-1.59487,-0.9267726
0.08333333,-1.594716,-0.9359569
0.1,-1.594616,-0.94730467
0.1166667,-1.707066,-0.96158814
0.1333333,-1.707066,-0.979738
0.15,-1.707066,-1.0027493
0.1666667,-1.707066,-1.0314661
0.1833333,-1.788739,-1.0662383
0.2,-1.788843,-1.1065472
0.2166667,-1.788836,-1.150825
0.2333333,-1.995209,-1.1967041
0.25,-1.995209,-1.2416862
0.2666667,-1.995209,-1.2838793
0.2833333,-2.179204,-1.3224114
0.3,-2.179198,-1.3573998
0.3166667,-2.179197,-1.3896406
0.3333333,-2.179197,-1.4202487
0.35,-2.319804,-1.4503653
0.3666667,-2.319804,-1.4809552
0.0,-1.830885,-0.90192914
0.01666667,-1.8499,-0.90699863
0.03333333,-1.849938,-0.9126687
0.05,-1.850048,-0.9191561
0.06666667,-1.891928,-0.9267726
0.08333333,-1.891927,-0.9359569
0.1,-1.891926,-0.94730467
0.1166667,-1.891927,-0.96158814
0.1333333,-1.954391,-0.979738
0.15,-1.95453,-1.0027493
0.1666667,-2.084628,-1.0314661
0.1833333,-2.084628,-1.0662383
0.2,-2.084591,-1.1065472
0.2166667,-2.191756,-1.150825
0.2333333,-2.191756,-1.1967041
0.25,-2.191756,-1.2416862
0.2666667,-2.312517,-1.2838793
0.0,-1.080441,-0.90192914
0.01666667,-1.080323,-0.90699863
0.03333333,-1.080318,-0.9126687
0.05,-1.099947,-0.9191561
0.06666667,-1.099944,-0.9267726
0.08333333,-1.099958,-0.9359569
0.1,-1.099969,-0.94730467
0.1166667,-1.151865,-0.96158814
0.1333333,-1.15199,-0.979738
0.15,-1.152071,-1.0027493
0.1666667,-1.281794,-1.0314661
0.1833333,-1.281794,-1.0662383
0.2,-1.281794,-1.1065472
0.2166667,-1.281794,-1.150825
0.2333333,-1.418922,-1.1967041
0.25,-1.418922,-1.2416862
0.2666667,-1.582088,-1.2838793
0.2833333,-1.582057,-1.3224114
0.3,-1.582057,-1.3573998
0.3166667,-1.582057,-1.3896406
0.3333333,-1.781705,-1.4202487
0.35,-1.781705,-1.4503653
0.3666667,-1.781705,-1.4809552
0.3833333,-1.781705,-1.5126745
0.4,-2.016038,-1.5458004
0.4166667,-2.016038,-1.5802355
0.4333333,-2.016038,-1.615622
0.45,-2.10161,-1.6515672
0.4666667,-2.101519,-1.6879251
