file,n,dt,g_newton,rmse_ay_newton
184.txt,25,0.016666684999999994,-8.866091550389664,247.46271644202628
185.txt,39,0.01666669999999995,-10.494204942852237,445.39799201708587
186.txt,24,0.01666667000000001,-8.687689585593429,275.29710139275954
187.txt,26,0.01666669999999998,-9.930288286214372,268.9720321903651
188.txt,25,0.016666684999999994,-9.48896770082435,260.8749724794936
189.txt,22,0.01666667000000001,-10.482368650647803,235.3999004177731
190.txt,32,0.01666669999999998,-9.580375181099496,387.4635506456857
191.txt,38,0.01666669999999998,-9.657208444338659,405.2244200228665
192.txt,41,0.01666669999999995,-9.371793957740483,357.1010147706553
193.txt,38,0.01666669999999998,-9.409578473164135,323.3087808862665
194.txt,36,0.01666669999999998,-8.769650900447179,365.6572821222455
195.txt,23,0.016666684999999994,-7.037143456786612,253.92170301842216
196.txt,28,0.01666669999999998,-8.920285993065598,305.74608956710495
197.txt,38,0.01666669999999998,-8.50441033170065,354.8431827205369
198.txt,29,0.01666669999999998,-8.39739621869544,348.1303674046632
199.txt,29,0.01666669999999998,-10.888751125609387,331.59454738773644
200.txt,35,0.01666669999999998,-9.465269028352617,512.6773871665116
201.txt,36,0.01666669999999998,-9.03590356718874,328.20965534117886
202.txt,31,0.01666669999999998,-8.97923335483216,300.0419664101551
203.txt,45,0.016666699999999923,-9.437511706682864,352.7658947071141
204.txt,36,0.01666669999999998,-10.562985673242808,403.56074664848256
205.txt,37,0.01666669999999995,-9.029605544334576,454.32756514009634
206.txt,33,0.01666669999999998,-10.513829040292896,400.7580817705119
207.txt,33,0.01666669999999998,-11.29580152451715,362.1374978886704
208.txt,28,0.01666669999999998,-8.210569794162192,251.8167476962637
209.txt,29,0.01666669999999998,-9.775369282055685,259.83604747566307
210.txt,32,0.01666669999999998,-9.023204946084183,254.41933366415424
211.txt,34,0.01666669999999998,-9.276144964248255,367.24116720157417
212.txt,23,0.016666684999999994,-10.460706806874414,246.25821305423563
213.txt,36,0.01666669999999998,-10.215855293719422,387.72181361909537
214.txt,27,0.016666684999999994,-9.345131582392018,234.20526485067347
215.txt,29,0.01666669999999998,-11.057963900511519,257.1212031140745
216.txt,30,0.01666669999999998,-8.9212876749339,382.65410734627574
217.txt,39,0.01666669999999995,-10.430145506792824,445.8565998294267
218.txt,23,0.016666684999999994,-9.148987760879871,288.4739390995927
219.txt,42,0.016666699999999923,-9.232954060165683,389.0983313206167
220.txt,40,0.01666669999999998,-9.634906985119297,375.5775313576841
221.txt,32,0.01666669999999998,-10.996410196687993,353.5767022648112
222.txt,35,0.01666669999999998,-8.533857860135955,425.6755438753489
223.txt,31,0.01666669999999998,-8.479731800464176,282.64043759009496
225.txt,37,0.01666669999999995,-9.947483920492434,339.0869388478205
226.txt,24,0.01666667000000001,-8.88096421875885,264.94550164309817
227.txt,41,0.01666669999999995,-9.829859183119327,487.8498493178287
228.txt,24,0.01666667000000001,-8.692668545621833,250.60041271670613
229.txt,41,0.01666669999999995,-9.034505586857032,450.59502435905335
230.txt,32,0.01666669999999998,-8.484208053576097,471.2625462727613
231.txt,24,0.01666667000000001,-10.878542305451068,244.0306877974975
232.txt,34,0.01666669999999998,-11.146401564566155,531.6577131890809
233.txt,31,0.01666669999999998,-9.985591956943068,393.76883845239126
234.txt,27,0.016666684999999994,-8.587441129927624,316.0543752049153
235.txt,38,0.01666669999999998,-9.353968765315875,396.74459721414127
236.txt,39,0.01666669999999995,-8.904742008289178,490.82777524310046
237.txt,27,0.016666684999999994,-8.373681446734178,353.3834943053882
238.txt,35,0.01666669999999998,-8.55454869386655,322.53017459948654
239.txt,25,0.016666684999999994,-11.377591495839736,341.3032240483461
240.txt,26,0.01666669999999998,-6.393802204503521,365.39397590950756
241.txt,34,0.01666669999999998,-8.453105872214026,418.21235938671
