file,n,dt,win_sg,rmse_vy_sg,rmse_ay_sg
187.txt,26,0.01666669999999998,5,0.41516868740547724,0.0005427392355591318
188.txt,25,0.016666684999999994,5,0.2525257151517334,0.0005594986859712286
189.txt,22,0.01666667000000001,5,0.25785617717184167,0.000609874084361123
190.txt,32,0.01666669999999998,5,0.550736434421323,0.0004522607349665439
191.txt,38,0.01666669999999998,5,0.8033449472621432,0.0005912445863016804
192.txt,41,0.01666669999999995,5,0.4406890048645927,0.000447573458161947
193.txt,38,0.01666669999999998,5,0.480417975889727,0.0004341310793251173
194.txt,36,0.01666669999999998,5,0.4322234595939845,0.00038721339355767876
195.txt,23,0.016666684999999994,5,0.30790196446921014,0.0006552883115796322
196.txt,28,0.01666669999999998,5,0.2900394014987067,0.0005627597226668716
197.txt,38,0.01666669999999998,5,0.500285665651635,0.0006159064672916861
198.txt,29,0.01666669999999998,5,0.5878167341743582,0.0008974723885721149
199.txt,29,0.01666669999999998,5,0.47505905827995765,0.0005600608662406273
200.txt,35,0.01666669999999998,5,1.0124617616894789,0.0006882252917032609
201.txt,36,0.01666669999999998,5,0.5365388827586803,0.0006346157229799092
202.txt,31,0.01666669999999998,5,0.33134911148293983,0.0006367241060501127
203.txt,45,0.016666699999999923,5,0.6489279454212428,0.0005299526404644113
204.txt,36,0.01666669999999998,5,0.47810680483615936,0.0004709863646695837
205.txt,37,0.01666669999999995,5,0.4965743789289865,0.00037749721430032425
206.txt,33,0.01666669999999998,5,0.448961320318214,0.0005410937121660913
207.txt,33,0.01666669999999998,5,0.44613770313413426,0.0008078408523929682
208.txt,28,0.01666669999999998,5,0.2813710335830324,0.0006580235837806171
209.txt,29,0.01666669999999998,5,0.30908397048850894,0.0005420485182994029
210.txt,32,0.01666669999999998,5,0.3324254785201393,0.0006108176814734405
211.txt,34,0.01666669999999998,5,0.39449986037821644,0.0005605003830495572
212.txt,23,0.016666684999999994,5,0.2664146314976878,0.0006354997797299782
213.txt,36,0.01666669999999998,5,0.7216566691208224,0.0004556377232439801
214.txt,27,0.016666684999999994,5,0.17667582414948527,0.000537959652337664
215.txt,29,0.01666669999999998,5,0.23973059171699848,0.0007073445864417496
216.txt,30,0.01666669999999998,5,0.40126983873607036,0.0005767727584619404
217.txt,39,0.01666669999999995,5,0.41433452753137895,0.0005353653913184625
218.txt,23,0.016666684999999994,5,0.2512868569423352,0.0005352304453051561
219.txt,42,0.016666699999999923,5,0.280470393194925,0.0005414708801845917
220.txt,40,0.01666669999999998,5,0.2776164808595407,0.00047233037572325283
221.txt,32,0.01666669999999998,5,0.4583138519621419,0.00042224009760563516
222.txt,35,0.01666669999999998,5,0.45389558151490866,0.00042038780730586955
223.txt,31,0.01666669999999998,5,0.4607618866332204,0.0006525747404932039
225.txt,37,0.01666669999999995,5,0.47298749500155035,0.0004755959963535197
226.txt,24,0.01666667000000001,5,0.3585381212019643,0.0006040394098749657
227.txt,41,0.01666669999999995,5,0.2910924202925211,0.0005986362730907988
228.txt,24,0.01666667000000001,5,0.3579702143762746,0.000578077385145114
229.txt,41,0.01666669999999995,5,0.5050035943687928,0.00036949231310001826
230.txt,32,0.01666669999999998,5,0.5752980539814989,0.0005782681633408666
231.txt,24,0.01666667000000001,5,0.33460338186386507,0.0005662384591303419
232.txt,34,0.01666669999999998,5,0.6906682719306996,0.0006011089707944448
233.txt,31,0.01666669999999998,5,0.4477584697140849,0.0005159209462714656
234.txt,27,0.016666684999999994,5,0.4365089688306125,0.0006083366605017453
235.txt,38,0.01666669999999998,5,0.5980920948715132,0.0005102518642890648
236.txt,39,0.01666669999999995,5,0.6361162617868036,0.00042659794604153067
237.txt,27,0.016666684999999994,5,0.41255123979909336,0.0004006530941886953
238.txt,35,0.01666669999999998,5,0.42582822553202976,0.0004693009804253003
239.txt,25,0.016666684999999994,5,0.4700217180701508,0.0006359397058192241
240.txt,26,0.01666669999999998,5,0.3849169455644549,0.00063459774076841
241.txt,34,0.01666669999999998,5,0.48392967217148514,0.0004906527766371864
242.txt,42,0.016666699999999923,5,0.34439056582079147,0.0004534954294471936
243.txt,39,0.01666669999999995,5,0.367003167961901,0.0003515518781817987
244.txt,42,0.016666699999999923,5,0.5992254273970855,0.0004783932672104294
245.txt,33,0.01666669999999998,5,0.5187582897798256,0.0003292703977150203
246.txt,39,0.01666669999999995,5,0.8509813094422674,0.0004906140240292435
247.txt,37,0.01666669999999995,5,0.5632023189017372,0.00037296327049985263
248.txt,30,0.01666669999999998,5,0.408359041486901,0.000558759790063782
249.txt,30,0.01666669999999998,5,0.2648886186546873,0.0006714759432628173
250.txt,21,0.016666670000000005,5,0.2751430445873142,0.0003967210608743869
251.txt,30,0.01666669999999998,5,0.36718897813595097,0.0005968145243709142
252.txt,31,0.01666669999999998,5,0.36780509643597414,0.0006517025842021448
253.txt,27,0.016666684999999994,5,0.21574697946649582,0.0004959875463183546
254.txt,32,0.01666669999999998,5,0.4802383799191888,0.0006456738644847295
255.txt,38,0.01666669999999998,5,0.35425828814173904,0.0004077634297297946
256.txt,40,0.01666669999999998,5,0.7571844292528581,0.0004265026779395376
257.txt,42,0.016666699999999923,5,0.5673370113737384,0.0006280090557697728
258.txt,34,0.01666669999999998,5,0.5129719152523525,0.0006216392478851229
259.txt,40,0.01666669999999998,5,0.5471148047986633,0.0005135277458238868
260.txt,36,0.01666669999999998,5,0.4713418415069793,0.00045300823316897206
261.txt,27,0.016666684999999994,5,0.27460357352533876,0.0005893010476010152
262.txt,18,0.01666667,5,0.28349686211647585,0.0006457413762020193
263.txt,33,0.01666669999999998,5,0.5444080569572097,0.0005675456951511935
264.txt,30,0.01666669999999998,5,0.4359313416244041,0.0006897400585705443
265.txt,26,0.01666669999999998,5,0.4728931217605332,0.0006285421073646053
266.txt,38,0.01666669999999998,5,0.614000046967041,0.0003934641771025357
267.txt,40,0.01666669999999998,5,0.6666153397664359,0.00044152314836956764
268.txt,40,0.01666669999999998,5,0.5381209337164197,0.00033607901881079524
269.txt,39,0.01666669999999995,5,0.562919813472502,0.0006115479818237974
270.txt,18,0.01666667,5,0.3268830428732417,0.0004144653048604674
271.txt,23,0.016666684999999994,5,0.5199803762555705,0.0006614647740410572
272.txt,37,0.01666669999999995,5,0.3942175169828363,0.0005039738237554821
273.txt,38,0.01666669999999998,5,0.760895156294911,0.0005810227410458814
274.txt,39,0.01666669999999995,5,0.554848957306001,0.00040551723806584627
275.txt,35,0.01666669999999998,5,0.4378154414598969,0.0003580499454031227
276.txt,37,0.01666669999999995,5,0.8106263150174989,0.00042155099410642687
277.txt,37,0.01666669999999995,5,0.42868359589931326,0.000555874753265456
278.txt,28,0.01666669999999998,5,0.6215396371115183,0.0005468410531040071
279.txt,39,0.01666669999999995,5,0.6425243382123218,0.0004731841024026508
280.txt,23,0.016666684999999994,5,0.39988446256027455,0.0006390721910605571
281.txt,35,0.01666669999999998,5,0.40511990920513935,0.0006096805476945509
282.txt,22,0.01666667000000001,5,0.24829520110091308,0.0006425305847602919
283.txt,30,0.01666669999999998,5,0.7891451342833181,0.0006337108177043383
284.txt,29,0.01666669999999998,5,0.5531297130666878,0.0005330849732423664
285.txt,21,0.016666670000000005,5,0.3399741204385577,0.0006206417947159046
286.txt,24,0.01666667000000001,5,0.19568528643218755,0.000681613277653626
287.txt,29,0.01666669999999998,5,0.36262458316784374,0.0007719856734475795
288.txt,25,0.016666684999999994,5,0.21629993074671125,0.00040049082407210193
289.txt,39,0.01666669999999995,5,0.5849313113546637,0.0005016858432480422
290.txt,27,0.016666684999999994,5,5.910683656881856,0.0011295388653405232
291.txt,35,0.01666669999999998,5,0.6228676659299259,0.000545791849519616
292.txt,22,0.01666667000000001,5,0.2662257252942703,0.0004742046356718548
293.txt,34,0.01666669999999998,5,0.41194778820404643,0.0004171537017076733
294.txt,43,0.016666699999999923,5,0.5034679796726446,0.0003320274464823122
295.txt,36,0.01666669999999998,5,0.36141172321212134,0.00038374385413109775
296.txt,23,0.016666684999999994,5,0.35993162305314386,0.00042459024295232257
